id	output
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x0d4b2c18dcc293e879590dd273d0615df4a6f1df8b5942ac0dbbbb0c965e2d0f"}	[{"salt": "23", "amount0": "0", "amount1": "3210071010145591120", "ordinal": 0, "tickLower": 314400, "tickUpper": 321000, "liquidityDelta": "-14505607429913904"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xd56095b7eddb27aae122519aa15e9f5299d55010dba76374aee6c6d5c8746faf"}	[{"salt": "18", "amount0": "40623656050078", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-1438339462046704656"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xe6e6396f12629fa386e2e800b388c3457a3fe2dd9afa525f987529c6a186625f"}	[{"salt": "22", "amount0": "1791613896983759", "amount1": "10016", "ordinal": 0, "tickLower": -242650, "tickUpper": -242310, "liquidityDelta": "-927106790061030"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xa9509ab0716b7c74b41dea3ad3721e97880f881f7ac88cca8abf4618ef76b629"}	[{"salt": "29", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -309790, "tickUpper": -309750, "liquidityDelta": "-995360037098159806"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x718979b2c681b21917cc3ad441b2f2196e5d10a82fc93768e61cfa3f2ccd17db"}	[{"salt": "30", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -309910, "tickUpper": -309890, "liquidityDelta": "-2003701493824421470"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xb2c2103c4db987759f13c17eb2b624c3b8bf140aef8d3449d3c4f011d5dc05ed"}	[{"salt": "33", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -323220, "tickUpper": -301260, "liquidityDelta": "392813340489"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xf4f9718eff1598a3d08c917946923637377125870de52f33414c57a039be45f7"}	[{"salt": "33", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -323220, "tickUpper": -301260, "liquidityDelta": "2353770514332"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x7ff8a0a28c4efa013219f4d86dd14ebfb882ee5b06d4545e52374fcef738ae84"}	[{"salt": "33", "amount0": "2494517043678031", "amount1": "0", "ordinal": 0, "tickLower": -323220, "tickUpper": -301260, "liquidityDelta": "2669278590250"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x0d2ffea4f3aae909350f101801281bf9a66a3d464059274bfbb7d75fa3e73c9a"}	[{"salt": "33", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -323220, "tickUpper": -301260, "liquidityDelta": "345073444325"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x491f5ffac5edf93047206b1f4a8a1bf98ccd61dd3de490ee4feca64dfca25210"}	[{"salt": "21", "amount0": "28406445974538", "amount1": "731", "ordinal": 0, "tickLower": -241980, "tickUpper": -240770, "liquidityDelta": "-29416591186182"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xb143dfb0a474b7e73575e8a910b0c1772cc83a9f42ec913610bc85a6a84bcda5"}	[{"salt": "32", "amount0": "7255073238198616", "amount1": "129976", "ordinal": 0, "tickLower": -243780, "tickUpper": -238250, "liquidityDelta": "-852571465956471"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x2065c2a14d1c612facf58e49715301de0529e06493324ace3bea4596faaa8fcd"}	[{"salt": "26", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -241660, "tickUpper": -240770, "liquidityDelta": "-1560097802165769"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x676f253180f12840812fa88a96cef1113d6a0716d2fac996a1697af280ba1522"}	[{"salt": "35", "amount0": "181195338160755", "amount1": "7956", "ordinal": 0, "tickLower": -244880, "tickUpper": -243000, "liquidityDelta": "-16277534080016"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x21d6cef7c6c8ea71fa5b18b4ce2fca51a340e21f98022f69b8fddf0fdfee8d45"}	[{"salt": "39", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-41230110495375672408"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xc6e468de38b654bc57d298bb337cfb76ffbc25771de6c6afb6de39652e790726"}	[{"salt": "34", "amount0": "22073924246291274", "amount1": "760083", "ordinal": 0, "tickLower": -246370, "tickUpper": -241980, "liquidityDelta": "-1163263393457646"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x812aad13ffed9314d283f8e7eea53d71fd7417b60e531e1ab23b7186f487cfc7"}	[{"salt": "36", "amount0": "1199999999999999", "amount1": "81831", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "89419137432"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x3fd42c250c43244f8ffef174355e14677189f00cb64381b8c7ddfbd47a2450af"}	[{"salt": "44", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -309300, "tickUpper": -307820, "liquidityDelta": "-28791368892397920"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xba02e9522ff46e6f81d147342683aea4f919ced05526397102238223754a02ab"}	[{"salt": "36", "amount0": "0", "amount1": "8125", "ordinal": 0, "tickLower": -887200, "tickUpper": 887200, "liquidityDelta": "-9887328518730"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xb20d6214e6e0b434231f217a1d58742a405412f84ea0c8d7dea3e6b006dac1dd"}	[{"salt": "42", "amount0": "0", "amount1": "8755", "ordinal": 0, "tickLower": -887180, "tickUpper": 887180, "liquidityDelta": "-13658975415044"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x746a571e321b3c15226bd25c4a1d8879211f9e96e031e1f34cdc442fafd43457"}	[{"salt": "46", "amount0": "355015231387327", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-215034904579581183"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xe87af3bf05d097d192311dce2d05fd554e74f51353d58d0c7ea20bba52a9e602"}	[{"salt": "49", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": 2213, "tickUpper": 3615, "liquidityDelta": "-8250083291399050670"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xeb88985ad7ac280421b71f0371df8f4e77dcf90b4a733d780736ff449dcae81f"}	[{"salt": "50", "amount0": "63448885377490", "amount1": "1151", "ordinal": 0, "tickLower": -244980, "tickUpper": -242340, "liquidityDelta": "46020947122703"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x0c876da7aa5f202bda60efe652f69cdcbcdfcdc0be99d0180b647d68b9a10c23"}	[{"salt": "52", "amount0": "7214571592128", "amount1": "0", "ordinal": 0, "tickLower": -243670, "tickUpper": -240210, "liquidityDelta": "-443086562313345"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x774e9d35841e9d58b5bd6b8a6adcb68cfbf56cbc20e7d639eb8bb17402f86c53"}	[{"salt": "47", "amount0": "68640035124263012", "amount1": "1807503", "ordinal": 0, "tickLower": -244540, "tickUpper": -242650, "liquidityDelta": "310620318498272"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x64ae83ff1e1d7f747f1d7d7b58fd8f3276d4abf5bb5330255dfacfff522f0e1d"}	[{"salt": "9", "amount0": "29038760", "amount1": "6787070455616086665750", "ordinal": 0, "tickLower": 318300, "tickUpper": 320160, "liquidityDelta": "-4436944675361730890"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x6ee7622df41db64119db5251f80efdbb97341b0e1cab3f98ee6bc09294fa3f09"}	[{"salt": "55", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -244050, "tickUpper": -239690, "liquidityDelta": "1153560714591690"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x85559cf970aad0a3ad7ef345ae5e8e72f6ce96a99ab159e1965274ec9dd595e7"}	[{"salt": "45", "amount0": "10237324987172174", "amount1": "242691", "ordinal": 0, "tickLower": -245410, "tickUpper": -243360, "liquidityDelta": "-226898657763587"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x0cfa67ec0bdb54364ad2185333ec381e16772667c7c073f3c695a57a4c150794"}	[{"salt": "50", "amount0": "5904702461079228", "amount1": "112630", "ordinal": 0, "tickLower": -244980, "tickUpper": -242340, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x14baf27a5ecd325b1048edf9c6132bdbea1df6cd09004806115f4404a2cb0c80"}	[{"salt": "50", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -244980, "tickUpper": -242340, "liquidityDelta": "-83437083661553"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xfabcef52e67b65fb9fc1dce9cc4727efef73c91de4db41ccd41cb06bbaea07a9"}	[{"salt": "51", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -1080, "tickUpper": 960, "liquidityDelta": "-21338374629084549984"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x1cb18d0b7c1a3d5c08461dec4dd6b5c398920aa9a87e8af7e0fa585a241b46f7"}	[{"salt": "60", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "510165652"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x8ea5ad3c0421af19b2bd130ea38060d81c45b8d83685ca2fa1f62faeb31425c6"}	[{"salt": "60", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -887220, "tickUpper": 887220, "liquidityDelta": "-420842564"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xd4cf1fd34219014639420815acd6798906e2b7c3035ae5f0d42688c5c919c1e2"}	[{"salt": "58", "amount0": "2654965353714368", "amount1": "32366", "ordinal": 0, "tickLower": -244980, "tickUpper": -239040, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x1ee8b1d46793b34b82fcbde30128dc6616641e73814785e0fab612649bc4070a"}	[{"salt": "58", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -244980, "tickUpper": -239040, "liquidityDelta": "-75301221059542"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x2bdb906b8e65c54d4ef944f82e342c2480ca6618a62495d592b194f0f12cf10a"}	[{"salt": "65", "amount0": "0", "amount1": "1466124039194799690", "ordinal": 0, "tickLower": 276320, "tickUpper": 276330, "liquidityDelta": "2238217600719077651"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x93587c7337a26f49a5c03104feb3b5471f6fc686108d5a873b9e754af11fd71f"}	[{"salt": "25", "amount0": "14599878939609832", "amount1": "347534", "ordinal": 0, "tickLower": -245410, "tickUpper": -239430, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xdd4ef7ff047f7808450fa901779fcef3b96b7db8af1af34ea9d0b81edd57672f"}	[{"salt": "37", "amount0": "5441961314715883", "amount1": "151383", "ordinal": 0, "tickLower": -243220, "tickUpper": -214170, "liquidityDelta": "-594647937622354"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0xec04dbd6780cb27360a069b57d81d1b5d3cc6feef916ef9f8ba964f5a84b579d"}	[{"salt": "41", "amount0": "5225192267455148", "amount1": "128212", "ordinal": 0, "tickLower": -244960, "tickUpper": -240760, "liquidityDelta": "0"}]
{"poolManager":"0x06380c0e0912312b5150364b9dc4542ba0dbbc85","txHash":"0x311b1cdfe60c495aca89e3a99693bb9f4cca07a3272c4468331143c7528b7f71"}	[{"salt": "41", "amount0": "0", "amount1": "0", "ordinal": 0, "tickLower": -244960, "tickUpper": -240760, "liquidityDelta": "-54881066580692"}]
